workerid	question	response_end	trialnum	correct	time_on_slide_in_seconds	measure	response_start	type	response	language	enjoyment	gender	age	comments	assess	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
0	NA	NA	NA	NA	19.311	NA	NA	none	NA	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
0	What kind of camps does Tom Lyons hold?	camps.	0	baseball	9.476	free	He holds	attention_check	baseball	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
0	What position does Tom Lyons play?	.	1	pitcher	9.25	free	Tom Lyons is a	attention_check	pitcher	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
0	During the off-season, about what percent of his free time do you think Tom Lyons spends working with children one-on-one and coaching them? (adjust the slider to answer)	NA	2	NA	13.804	slider	NA	amount	0.24	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
0	Why do you think Tom Lyons puts so much time and energy into baseball camps instead of taking a vacation?	.	3	NA	8.172	free	Because	explanation	They help his community. 	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
0	Please fill in the blank with your best guess:	, Tom Lyons would not hold baseball camps instead of taking a vacation.	4	NA	14.824	free	If it wasn&quotechart the case that	counterfactual	he was a baseball player	English	1	Female	25		Yes	3	Windows	900	1600	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3PH3VY7DJLX0KEZJJERJNCODORTWZ7	0	Approved	Mon Dec 01 22:16:27 PST 2014	Mon Dec 01 05:34:41 PST 2014	Mon Dec 01 05:36:27 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.6086166666666666
1	NA	NA	NA	NA	15.924	NA	NA	none	NA	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
1	What kind of camps does Tom Lyons hold?	camps.	0	baseball	7.727	free	He holds	attention_check	baseball	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
1	What position does Tom Lyons play?	.	1	pitcher	4.959	free	Tom Lyons is a	attention_check	pitcher	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
1	During the off-season, about what percent of his free time do you think Tom Lyons spends working with children one-on-one and coaching them? (adjust the slider to answer)	NA	2	NA	15.727	slider	NA	amount	0.09	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
